ip,country,city,state
99.65.54.207,US,Orange Park,FL
24.12.124.111,US,Oswego,IL
204.88.251.53,US,Arroyo Grande,CA
67.182.178.228,US,Stockton,CA
128.163.8.20,US,Lexington,KY
209.190.238.162,US,Rockville,MD
173.13.244.225,US,Washington,DC
209.190.238.162,US,Rockville,MD
24.206.32.166,US,Durham,NC
24.12.124.111,US,Oswego,IL
67.213.42.127,US,Advance,NC
